participant_num,trial_index,stimulus,task,word,correct,reaction_time,length,lgSUBTLWF,freqGroup
2,13,woven,lexical_decision,TRUE,TRUE,875,5,1.518,low
2,14,talking,lexical_decision,TRUE,TRUE,776,7,4.405,high
2,15,tipsy,lexical_decision,TRUE,TRUE,618,5,1.532,low
2,16,lxzctgr,lexical_decision,FALSE,TRUE,544,NA,NA,nonword
2,17,blong,lexical_decision,FALSE,FALSE,839,NA,NA,nonword
2,18,lbmwq,lexical_decision,FALSE,TRUE,669,NA,NA,nonword
2,19,aided,lexical_decision,TRUE,TRUE,791,5,1.532,low
2,20,bkgtl,lexical_decision,FALSE,TRUE,775,NA,NA,nonword
2,21,fphql,lexical_decision,FALSE,TRUE,846,NA,NA,nonword
2,22,vqnfksp,lexical_decision,FALSE,TRUE,837,NA,NA,nonword
2,23,kwilt,lexical_decision,FALSE,FALSE,754,NA,NA,nonword
2,24,zvxqrdt,lexical_decision,FALSE,TRUE,555,NA,NA,nonword
2,25,frosket,lexical_decision,FALSE,FALSE,644,NA,NA,nonword
2,26,heaving,lexical_decision,TRUE,TRUE,904,7,1.505,low
2,27,claster,lexical_decision,FALSE,FALSE,679,NA,NA,nonword
2,28,maybe,lexical_decision,TRUE,TRUE,557,5,4.674,high
2,29,splinth,lexical_decision,FALSE,FALSE,705,NA,NA,nonword
2,30,pasty,lexical_decision,TRUE,TRUE,614,5,1.505,low
2,31,nothing,lexical_decision,TRUE,TRUE,449,7,4.639,high
2,32,qwsdf,lexical_decision,FALSE,TRUE,515,NA,NA,nonword
2,33,glarp,lexical_decision,FALSE,FALSE,551,NA,NA,nonword
2,34,knitted,lexical_decision,TRUE,TRUE,633,7,1.532,low
2,35,think,lexical_decision,TRUE,TRUE,480,5,5.138,high
2,36,another,lexical_decision,TRUE,TRUE,470,7,4.415,high
2,37,trinity,lexical_decision,TRUE,TRUE,463,7,2.176,low
2,38,thing,lexical_decision,TRUE,TRUE,434,5,4.745,high
2,39,bcrztxl,lexical_decision,FALSE,TRUE,648,NA,NA,nonword
2,40,right,lexical_decision,TRUE,TRUE,359,5,5.311,high
2,41,cjvgy,lexical_decision,FALSE,TRUE,1046,NA,NA,nonword
2,42,ploke,lexical_decision,FALSE,FALSE,1178,NA,NA,nonword
2,43,threp,lexical_decision,FALSE,FALSE,515,NA,NA,nonword
2,44,ptbwx,lexical_decision,FALSE,TRUE,685,NA,NA,nonword
2,45,ribbons,lexical_decision,TRUE,TRUE,1053,7,2.176,low
2,46,glonick,lexical_decision,FALSE,FALSE,881,NA,NA,nonword
2,47,believe,lexical_decision,TRUE,TRUE,670,7,4.504,high
2,48,brendle,lexical_decision,FALSE,FALSE,471,NA,NA,nonword
2,49,sorry,lexical_decision,TRUE,TRUE,802,5,4.775,high
2,50,hmfjpwb,lexical_decision,FALSE,TRUE,536,NA,NA,nonword
2,51,thought,lexical_decision,TRUE,TRUE,808,7,4.615,high
2,52,gkfjvmd,lexical_decision,FALSE,TRUE,556,NA,NA,nonword
2,53,doubles,lexical_decision,TRUE,TRUE,557,7,2.173,low
2,54,platter,lexical_decision,TRUE,TRUE,645,7,2.176,low
2,55,going,lexical_decision,TRUE,TRUE,583,5,5.035,high
2,56,brote,lexical_decision,FALSE,FALSE,557,NA,NA,nonword
2,57,ptwxlbn,lexical_decision,FALSE,TRUE,525,NA,NA,nonword
2,58,stend,lexical_decision,FALSE,FALSE,651,NA,NA,nonword
2,59,denim,lexical_decision,TRUE,TRUE,537,5,1.532,low
2,60,inhabit,lexical_decision,TRUE,TRUE,779,7,1.532,low
2,61,looking,lexical_decision,TRUE,TRUE,424,7,4.344,high
2,62,doing,lexical_decision,TRUE,TRUE,450,5,4.72,high
2,63,morning,lexical_decision,TRUE,TRUE,393,7,4.35,high
2,64,taunt,lexical_decision,TRUE,TRUE,471,5,1.518,low
2,65,where,lexical_decision,TRUE,TRUE,543,5,4.97,high
3,2,brote,lexical_decision,FALSE,TRUE,2414,NA,NA,nonword
3,3,kwilt,lexical_decision,FALSE,TRUE,1313,NA,NA,nonword
3,4,sorry,lexical_decision,TRUE,TRUE,964,5,4.775,high
3,5,stend,lexical_decision,FALSE,TRUE,1296,NA,NA,nonword
3,6,glonick,lexical_decision,FALSE,TRUE,941,NA,NA,nonword
3,7,through,lexical_decision,TRUE,TRUE,685,7,4.448,high
3,8,right,lexical_decision,TRUE,TRUE,704,5,5.311,high
3,9,gkfjvmd,lexical_decision,FALSE,TRUE,778,NA,NA,nonword
3,10,nothing,lexical_decision,TRUE,TRUE,829,7,4.639,high
3,11,taunt,lexical_decision,TRUE,TRUE,1713,5,1.518,low
3,12,thing,lexical_decision,TRUE,TRUE,1042,5,4.745,high
3,13,maybe,lexical_decision,TRUE,TRUE,648,5,4.674,high
3,14,exert,lexical_decision,TRUE,TRUE,709,5,1.544,low
3,15,thought,lexical_decision,TRUE,TRUE,654,7,4.615,high
3,16,tpszk,lexical_decision,FALSE,TRUE,584,NA,NA,nonword
3,17,lxzctgr,lexical_decision,FALSE,TRUE,562,NA,NA,nonword
3,18,another,lexical_decision,TRUE,TRUE,868,7,4.415,high
3,19,morning,lexical_decision,TRUE,TRUE,1004,7,4.35,high
3,20,frosket,lexical_decision,FALSE,TRUE,2299,NA,NA,nonword
3,21,lbmwq,lexical_decision,FALSE,TRUE,696,NA,NA,nonword
3,22,trinity,lexical_decision,TRUE,TRUE,1915,7,2.176,low
3,23,splinth,lexical_decision,FALSE,TRUE,1023,NA,NA,nonword
3,24,glarp,lexical_decision,FALSE,TRUE,817,NA,NA,nonword
3,25,vqnfksp,lexical_decision,FALSE,TRUE,714,NA,NA,nonword
3,26,pasty,lexical_decision,TRUE,TRUE,797,5,1.505,low
3,27,knitted,lexical_decision,TRUE,TRUE,856,7,1.532,low
3,28,snackle,lexical_decision,FALSE,FALSE,1449,NA,NA,nonword
3,29,inhabit,lexical_decision,TRUE,TRUE,699,7,1.532,low
3,30,doubles,lexical_decision,TRUE,TRUE,2081,7,2.173,low
3,31,ptbwx,lexical_decision,FALSE,TRUE,979,NA,NA,nonword
3,32,zvxqrdt,lexical_decision,FALSE,TRUE,608,NA,NA,nonword
3,33,talking,lexical_decision,TRUE,TRUE,1501,7,4.405,high
3,34,looking,lexical_decision,TRUE,TRUE,559,7,4.344,high
3,35,claster,lexical_decision,FALSE,TRUE,2435,NA,NA,nonword
3,36,trilogy,lexical_decision,TRUE,TRUE,769,7,1.518,low
3,37,tipsy,lexical_decision,TRUE,TRUE,781,5,1.532,low
3,38,ribbons,lexical_decision,TRUE,TRUE,1343,7,2.176,low
3,39,qwsdf,lexical_decision,FALSE,TRUE,690,NA,NA,nonword
3,40,ploke,lexical_decision,FALSE,TRUE,1149,NA,NA,nonword
3,41,aided,lexical_decision,TRUE,TRUE,854,5,1.532,low
3,42,heaving,lexical_decision,TRUE,TRUE,820,7,1.505,low
3,43,threp,lexical_decision,FALSE,TRUE,1499,NA,NA,nonword
3,44,think,lexical_decision,TRUE,TRUE,621,5,5.138,high
3,45,zxcvb,lexical_decision,FALSE,TRUE,789,NA,NA,nonword
3,46,denim,lexical_decision,TRUE,TRUE,1278,5,1.532,low
3,47,platter,lexical_decision,TRUE,TRUE,835,7,2.176,low
